Alue,Tyottomyysaste
049 111 Pohjois-Leppävaara,11.5
049 112 Etelä-Leppävaara,7.5
049 113 Mäkkylä,7.5
049 114 Lintukorpi,10.2
049 115 Lintulaakso,4.4
049 116 Uusmäki,4.4
049 117 Lintumetsä,5.4
049 118 Perkkaa,11.5
049 121 Ruukinranta (vanha),.
049 122 Pohjois-Laajalahti (vanha),.
049 131 Nuijala,10.9
049 132 Kuninkainen,8.1
049 133 Karakallio,10.3
049 141 Veininlaakso,4.5
049 142 Lähderanta,9.5
049 143 Jupperi,4.6
049 151 Viherlaakso,10.4
049 152 Lippajärvi,7
049 161 Sepänkylä,9.8
049 211 Tapiolan keskus,6.6
049 212 Länsikorkee,6.9
049 213 Otsolahti,5.9
049 214 Niittykumpu,7
049 215 Pohjois-Tapiola,5.4
049 222 Otaniemi,1.8
049 231 Westend,4
049 232 Haukilahti,7.3
049 241 Vanha-Mankkaa,5.3
049 242 Taavinkylä,5
049 251 Ruukinranta,..
049 252 Pohjois-Laajalahti,7.5
049 311 Matinmetsä,13.5
049 312 Tiistilä,12.1
049 313 Matinlahti,7.6
049 314 Matinkylän keskus,9
049 315 Nuottaniemi,3.9
049 316 Miessaari,..
049 321 Friisilä,7.4
049 322 Olarinmäki,5.6
049 323 Kuitinmäki,9.9
049 331 Henttaa,4.6
049 332 Suurpelto,11.5
049 411 Espoonlahden keskus,13.2
049 412 Soukanmäki,12.4
049 413 Kivenlahti,12.2
049 414 Laurinlahti,6.9
049 415 Soukanniemi,7.8
049 421 Kattilalaakso,4.6
049 422 Tillinmäki,3.8
049 423 Saunaniemi,9.3
049 431 Latokaskenmäki,4.8
049 432 Eestinmalmi,7.2
049 433 Malminmäki,5.8
049 434 Nöykkiönlaakso,8.1
049 441 Iivisniemi,8.6
049 442 Hannus,8.9
049 443 Hannusjärvi,5.2
049 451 Suvisaari,4.5
049 452 Ulkosaaret,..
049 511 Kauklahti,10.8
049 512 Espoonkartano,6.3
049 521 Kurttila,7.2
049 522 Vanttila,5.8
049 611 Kirkkojärvi,11.6
049 612 Tuomarila,5.5
049 613 Suvela,14.8
049 614 Kuurinniitty,4.9
049 615 Kaupunginkallio,6.2
049 616 Ymmersta,9
049 621 Muurala,8.2
049 622 Gumböle,6.4
049 631 Karvasmäki,6
049 632 Järvenperä,7.8
049 633 Högnäs,15.4
049 634 Karhusuo,6.8
049 635 Kunnarla,..
049 641 Kolmperä,.
049 642 Vanha-Nuuksio-Nupuri,7
049 643 Siikajärvi,8
049 644 Nuuksionpää,10.9
049 645 Ämmässuo,..
049 711 Röylä,4.3
049 712 Puotinen,5.7
049 713 Vanhakartano,6.7
049 714 Perusmäki,4.1
049 715 Niipperi,7.3
049 721 Kalajärvi,8.2
049 722 Luukki,..
049 723 Lahnus,5
049 724 Lakisto,15.1
049 725 Velskola,..
049 999 Muut,26
