Alue,Kaikki koulutusasteet,Tutkinnon suorittaneita yhteensä,Keskiaste,Alin korkea- ja alempi korkeakouluaste,Ylempi korkeakouluaste ja tutkijakoulutus,Perusaste tai tuntematon
092 10 Linnainen,644,509,164,219,126,135
092 11 Hämevaara,1330,1010,426,356,228,320
092 12 Hämeenkylä,6835,4952,2577,1635,740,1883
092 13 Vapaala,3358,2502,1185,834,483,856
092 14 Varisto,1992,1409,757,426,226,583
092 15 Myyrmäki,14707,10055,5553,3174,1328,4652
092 16 Kaivoksela,4649,3426,1823,1083,520,1223
092 17 Martinlaakso,10419,7010,3929,2099,982,3409
092 18 Vantaanlaakso,2328,1823,748,712,363,505
092 20 Askisto,1418,1040,532,342,166,378
092 21 Piispankylä,737,499,330,133,36,238
092 22 Keimola,1046,830,542,231,57,216
092 23 Kivistö,5968,4851,2417,1554,880,1117
092 24 Lapinkylä,1010,736,367,237,132,274
092 25 Myllymäki,223,164,94,48,22,59
092 26 Petikko,232,173,68,71,34,59
092 30 Vestra,275,200,97,73,30,75
092 31 Luhtaanmäki,244,167,91,54,22,77
092 32 Riipilä,573,366,227,105,34,207
092 33 Seutula,686,463,260,142,61,223
092 34 Kiila,338,213,133,64,16,125
092 40 Ylästö,3657,2907,1057,1064,786,750
092 41 Viinikkala,..,..,..,..,..,..
092 50 Tammisto,2669,2145,951,736,458,524
092 51 Pakkala,7771,5806,2895,1814,1097,1965
092 52 Veromies,563,364,262,74,28,199
092 53 Lentokenttä,..,..,..,..,..,..
092 60 Hiekkaharju,4575,3461,1713,1172,576,1114
092 61 Tikkurila,5813,4107,2382,1197,528,1706
092 62 Jokiniemi,4894,3554,2081,969,504,1340
092 63 Viertola,6310,4834,2502,1607,725,1476
092 64 Kuninkaala,2244,1596,817,515,264,648
092 65 Simonkylä,6722,4606,2879,1273,454,2116
092 66 Hakkila,1104,847,489,235,123,257
092 67 Ruskeasanta,3434,2672,1407,854,411,762
092 68 Koivuhaka,2225,1582,895,484,203,643
092 69 Helsingin pitäjän kk.,109,83,32,30,21,26
092 70 Koivukylä,4142,3100,1788,896,416,1042
092 71 Ilola,3773,2812,1494,921,397,961
092 72 Asola,3779,2502,1552,683,267,1277
092 73 Rekola,2400,1733,824,588,321,667
092 74 Havukoski,6938,4005,2678,964,363,2933
092 75 Päiväkumpu,3172,2290,1205,752,333,882
092 80 Matari,1847,1360,714,452,194,487
092 81 Korso,6061,4101,2448,1170,483,1960
092 82 Mikkola,2615,1557,1085,367,105,1058
092 83 Metsola,5161,3462,2104,966,392,1699
092 84 Leppäkorpi,1943,1476,828,478,170,467
092 85 Jokivarsi,1050,781,391,274,116,269
092 86 Nikinmäki,2946,2217,1086,719,412,729
092 87 Vierumäki,1163,831,503,237,91,332
092 88 Vallinoja,1334,889,551,261,77,445
092 90 Länsisalmi,..,..,..,..,..,..
092 91 Länsimäki,4733,2790,1905,616,269,1943
092 92 Ojanko,..,..,..,..,..,..
092 93 Vaarala,2468,1822,992,569,261,646
092 94 Hakunila,9322,5460,3747,1226,487,3862
092 95 Rajakylä,3333,2491,1300,851,340,842
092 96 Itä-Hakkila,2282,1725,902,558,265,557
092 97 Kuninkaanmäki,1603,1171,604,356,211,432
092 98 Sotunki,520,398,187,133,78,122
092 99 Muut,4340,1738,1281,307,150,2602
